Unnamed: 0,movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,Lãng Mạn,Tình Tiết,Thanh Xuân,Thành Thị,Viễn Tưởng,Phim Hài,Bí Ẩn,Hành Động,Cổ Trang,Tình Bạn,Phiêu Lưu,Tội Phạm,Tình Yêu Ngọt Ngào,Gia Đình,Nhiệt Huyết,Kinh Dị,Tiểu Thuyết Chuyển Thể,Other,director,cast,Popularity Levels
0,Mật Tình Thất Tâm Phần 1,Phim bộ,14000,8.4,T13,2018,12,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Zhang Lu Quan,"Luo Bin, Yin Ye Zi, Scarlet, 刘世龙（演员）, Ivan",0
1,【Lồng Tiếng】Cửa Hàng Tiện Lợi Saet Byul,Phim bộ,1600,9.4,T13,2020,16,Hàn Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Myung-woo Lee,"Ji Chang Wook, Kim You Jung, Angel Face, Sang-woo Do",-1
2,Sắc Xanh Lãng Mạn,Phim bộ,4800,9.3,T16,2020,14,Thái Lan,"Tội Phạm, Kinh Dị, Hình Sự, Tình Bạn, Thanh Xuân, Gia Đình",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,Ongart Singlumpong,"Singto Prachaya Ruangroj, Namtan Tipnaree Weerawatnodom, Ohm Thitiwat Ritprasert",-1
3,Quy Lộ (Đường Về Nhà),Phim bộ,56800,9.7,T13,2023,30,Trung Quốc,"Lãng Mạn, Thành Thị, Hôn Nhân, Tiểu Thuyết Chuyển Thể",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Yu Cui Hua,"BoranJing, Đàm Tùng Vận, lison, Trương Bách Gia, Vương Hạo (diễn viên hài), Qiaoer Zhang",1
4,Đời Sống Ngục Tù,Phim bộ,8900,9.6,T18,2017,16,Hàn Quốc,"Tội Phạm, Tình Tiết, Phim Hài, Tình Bạn",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Shen Yuan Hao,"Hae-soo Park, Jung Kyung Ho , Jung Soo Jung, Jung Hae In",-1
5,Tình Yêu Đem Lại Hạnh Phúc - bản DVD,Phim bộ,4000,9.2,T13,2016,70,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Gia Đình, Hôn Nhân",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Liu Chun-Chieh,"WilliamChan, Tina Tang, Xu Ran, Mify, Ngụy Đại Huân, Eliza Liang, Lee Tae, Joyce, La Vân Hi, Lisa Chan, Wu Jing, Liu Li Wei, Rong Rong, Cai Gang, Fan Chun Xia",-1
6,Thần Khuyển Tiểu Thất 3,Phim bộ,50000,9.0,T13,2019,43,Trung Quốc,"Bí Ẩn, Thành Thị, Thanh Xuân",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yuan Xiao Man,"Jo Jiang, Cecilia Boey, Xu Ke, Cai Guo Qing, Cai Xuan Zheng, Vanessa",0
7,Ma Nữ Đáng Yêu,Phim bộ,11600,9.2,T13,2015,16,Hàn Quốc,"Lãng Mạn, Viễn Tưởng",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Liu Zai Yuan,"Park BoYoung, Kim Seulgie, Lim Ju-hwan",0
8,Giới Độc Phong Vân,Phim bộ,11000,8.6,T16,2020,37,Trung Quốc,"Tội Phạm, Bí Ẩn, Tình Tiết, Hình Sự, Thành Thị",0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Wu Tian Ge,"He Zheng Jun, Li Qian, Chi Miao, Wei Li",0
9,The Lord Of Losers 2,Phim bộ,34000,9.7,T13,2023,24,Trung Quốc,"Phim Hài, Thành Thị",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Frank Wei,"Lý Giai Hàng, Zhang Yi Duo, Cheng Guo, Liu Zhong Qiu, Tu Hua, Li Wenfan, sunyiwen",1
10,Chúng Ta Hướng Tới Các Vì Sao,Phim bộ,22000,9.4,T13,2024,24,Trung Quốc,"Lãng Mạn, Thanh Xuân",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ba Chen Xu,"Victor, Ngô Thiên Doanh, Dai Gu La, Luyu Pan, Thời An, Gaga, Shen Bo Huai",1
11,Thần chết,Phim bộ,9600,9.1,T16,2017,18,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Viễn Tưởng",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Jin Hong Shan,"Song Seung Heon, Kim Dong Joon, Elle Lee, Ara",-1
12,Thế giới ngôn ngữ mới (Kì 1),Phim bộ,2000,8.0,T13,2017,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Phim Hài, Thành Thị",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sun Jia Jun,"Yu Lang, Zhang He Hao Zhen, Zhao Ying Jun, Sun Yi Ning, Guo Jin Fan",-1
13,Một tôi khác trên thế giới này,Phim bộ,1400,9.2,T13,2022,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Yu Jing, Wang Kai Yang","Zhao Dong Ze, Wu Man Si, Thang Mộng Giai, Tiêu Vũ Lương",-1
14,Vườn Sao Băng,Phim bộ,6200,9.6,T13,2009,25,Hàn Quốc,"Phim Hài, Thành Thị, Tình Yêu Ngọt Ngào, Học Đường",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Gi-Sang Jeon,Jun Ki Sang","Ku Hye Sun, Lee Min Ho, Hyun-joong Kim, Kim Bum, Kim Jun, Kim So-eun, Chae-young Han, Seok-Hwan An, Ye-jin Im",-1
15,Sợi Chỉ Đỏ,Phim bộ,19100,9.7,T18,2019,17,Thái Lan,"LGBT, Lãng Mạn, Tình Tiết, Học Đường",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,New Siwaj Sawatmaneekul,"Ohm Thitiwat Ritprasert, Natouch Siripongthon, Kao Noppakao Dechaphattanakun, Earth Katsamonnat Namwirote,Earth, Boun Noppanut, Prem Warut Chawalitrujiwong,Prem, Sammy Samantha Melanie Coates, Bosston Suphadach Wilairat, Mix Wanut Sangtianprapai, Pineare Pannin Charnmanoon",1
16,#cedoklife,Phim bộ,8000,9.5,T13,2023,6,other,"Tình Tiết, Phim Hài, Tình Bạn",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Waan Hafiz,"Faha Azhar, Sathis Varan, Ku Farisah, Hana Tiha, Nick Davis, Alynn Techen",-1
17,Lực lượng thần bí,Phim bộ,23000,9.1,T16,2015,20,Trung Quốc,"Bí Ẩn, Khoa Học Viễn Tưởng, Tình Tiết, Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,Zhang Li,"Han Yang, Trương Bân Bân , Veronique, Wang Yi Jia, Zheng Xu Dong, Dolly fox, Zhao Yi Han, Tino",1
18,Chỉ Là Quan Hệ Hôn Nhân,Phim bộ,33900,9.6,T13,2021,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Hôn Nhân, Tiểu Thuyết Chuyển Thể",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Li Yao Bo,"Vương Ngọc Văn, Vương Tử Kỳ, Dịch Bách Thần, Yang Yue, Lý Tuấn Thuần",1
19,GEN Y The Series,Phim bộ,36400,9.4,T18,2020,12,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thanh Xuân, Học Đường",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Sathanapong Limwongthong,"Bas Suradet Piniwat, Kimmon Warodom Khemmonta, Copter Panuwat Kerdthongtavee, Dun Romchampa, Bank Thoranin Manosudprasit, Bonus Thanadech Deeseesuk, Bank Thanathip Srithongsuk, Thanapon Aiemkumchai (Pon), Kad Ploysupa, Jet Jetsadakorn Bundit, Bank Theewara Panyatara",1
21,Khi Người Cá Yêu,Phim bộ,3800,9.0,T13,2019,24,Trung Quốc,"Lãng Mạn, Viễn Tưởng, Thanh Xuân",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Huang Tian Ren,"Wangyanxin, Li Jun Yao, Phan Hiểu Đông, Yuan Li Ruo Xin, Hao Ming Qi, Shi Xue Jing",-1
22,Thế Giới Hôn Nhân,Phim bộ,5500,9.2,T18,2020,16,Hàn Quốc,"Bí Ẩn, Lãng Mạn, Tình Tiết, Gia Đình, Hôn Nhân",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Mao Wan Ri,"KimHee-ae,Hie-ae Kim, Hea-jun Park, So-hee Han",-1
23,Theo Dấu Bí Mật,Phim bộ,4000,8.2,T16,2021,28,Trung Quốc,"Tội Phạm, Bí Ẩn, Tình Tiết, Hình Sự",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Jin Ye,"Xu Sheng Nan, Liu Hai Lan, Rocky, Sun Hao Yang, Jiang Kai, Wang Zi Xuan",-1
24,Muôn Kiểu Ghen Tuông,Phim bộ,3400,9.2,T13,2016,24,Hàn Quốc,"Lãng Mạn, Tình Tiết, Phim Hài, Hôn Nhân",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Shin-woo Park,"Kong Hyo-Jin, Jo Jung-Suk / Jo Jeong-seok, Mi-suk Lee, Ko Kyung Pyo",-1
25,雾中系铃人,Phim bộ,15000,9.1,T13,2023,30,Trung Quốc,"Tội Phạm, Bí Ẩn, Lãng Mạn, Tình Tiết, Hình Sự",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Gu Jin Yun,"Fu Da Long, Sun Qian, Chen Yi Heng, Shi Jing Ming, Zhang Xi Lin, Wang Yan Hui",0
26,【Thuyết Minh】Đại Lý Tự Thiếu Khanh Du,Phim bộ,22000,9.6,T13,2024,36,Trung Quốc,"Bí Ẩn, Tình Tiết, Hư Cấu, Phim Hài, Thanh Xuân, Cổ Trang",0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,wangwei,"Đinh Vũ Hề, Zhou Qi, Ngụy Triết Minh, Ding Jia Wen, Zhang Yi Cong, Feng Man, Oa Nhĩ, Nhậm Mẫn, Roy",1
27,Anh trai tôi trong đội bơi,Phim bộ,13000,8.6,P,2018,12,Trung Quốc,"Lãng Mạn, Thanh Xuân",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yang Huan,"DA QIAN, Xu Chen Yu, Gu Hui Min",0
28,【Thuyết minh】Thanh Xuân Sáng Thế Kỷ,Phim bộ,6000,9.3,T13,2022,47,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân, Thương Trường",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Chen Fei Hong,"Hoàng Cảnh Du, Ngô Cẩn Ngôn",-1
29,【Thuyết minh】Một Đời Một Kiếp (Nhất Sinh Nhất Thế),Phim bộ,6500,9.7,T13,2021,30,Trung Quốc,"Tổng Tài Bá Đạo, Thương Trường, Tình Yêu Ngọt Ngào, Tiểu Thuyết Chuyển Thể",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Shen Yang,"Nhậm Gia Luân, Bạch Lộc",-1
30,Đại Sư Tìm Người,Phim bộ,26000,8.8,T16,2017,12,Trung Quốc,"Bí Ẩn, Thành Thị, Thanh Xuân",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Li Ze Lu,"Harry,Hu Yun Hao, Hà Hoa, Kenny Bee,Jan To Chung,Chun-to Chung,Chun To Chung, Fingal, Qian Di Di",0
31,Công Chúa Của Ảnh Đế,Phim bộ,16900,9.5,T13,2022,30,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Tình Bạn, Tình Yêu Ngọt Ngào, Tiểu Thuyết Chuyển Thể",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Huang Tian Ren,"Kyulkyung, Từ Chính Khê, Ngô Giai Di, Harry,Hu Yun Hao, Từ Khải Hâm, Lý Nhược Ninh",1
32,Cô Bạn Trần Bạch Lộ,Phim bộ,1500,8.5,P,2016,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Thanh Xuân, Tiểu Thuyết Chuyển Thể",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chen Kun Hui,"Koala, Trương Thiên Ái, Qu Chu Xiao, Li Zi Feng, Tan Kai, Niki, MingDow",-1
33,Những Người Thừa Kế,Phim bộ,19600,9.4,T13,2013,20,Hàn Quốc,"Lãng Mạn, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường",1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Shin-hyo Kang,"Lee Min Ho, Park Shin Hye, Woo-bin Kim, Jung Soo Jung, Kang Min Hyuk , Kim Ji Won, Ha-neul Kang, Lim Ju Eun, Park Hyung Sik",1
34,A Portrait of Jianghu: Reincarnated Disciple,Phim bộ,6000,8.5,T16,2023,24,Trung Quốc,"Bí Ẩn, Phiêu Lưu, Lãng Mạn, Viễn Tưởng",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Ricky,"Qin Xiao Xuan, Vương Dịch Đình, Xia Nan, Chen Tao Xun, Lý Thục Đình, Long Shui Ting, Bai Bing Ke, Zhang yikai, He Bin",-1
35,Star Struck: Truy Tinh,Phim bộ,5100,9.6,T18,2023,8,Hàn Quốc,"LGBT, Lãng Mạn, Tình Tiết, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào",1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Park Seon Jae,"Zu Ho, Chae Soo-ah, Park Tae-in, KWON SAN",-1
36,Ải Mỹ Nhân 3,Phim bộ,1000,9.1,T16,2016,12,Trung Quốc,"Tội Phạm, Bí Ẩn, Lãng Mạn, Tình Tiết, Thanh Xuân",1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"George Leung, Tat Chiu Lee","Yang Rong, Bạch Vũ, EVAN, He Feng Tian, Wang Yu, Nan Fu Long, Tom Price,Tom Bai, Mễ Nhiệt, Cindy, Thích Tích, Zhang Yi Jie, Chu Jun Chen, Muchen Tian, Yiqin Zhao",-1
37,Mùa Hè Của Hương Bạc Hà,Phim bộ,29800,9.4,T13,2021,24,Trung Quốc,"Tình Tiết, Thanh Xuân, Học Đường",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"MosChen,Mi Bao","Nghê Kha Hân, Trần Hạc Nhất , Cora, Johnson",1
38,Lạc Lối,Phim bộ,6000,8.7,T16,2019,35,Trung Quốc,"Tội Phạm, Bí Ẩn, Hành Động, Hình Sự",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,Yao Min,"Jian Wu, Jacky, Wang Qiang, Zhu Dan Qing, Lu Qian Wen, Xuyết Ni, LiangBaoling, Yan Lin Fei",-1
39,Không Thích Hẹn Hò Nhưng Sợ Cô Đơn,Phim bộ,1800,8.9,T13,2020,10,Hàn Quốc,"Lãng Mạn, Phim Hài, Thành Thị",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LeeSem,"Ji Hyun-Woo, Kim So-eun",-1
40,Khanh Khanh Nhật Thường (Tân Xuyên Nhật Thường),Phim bộ,54400,9.6,T13,2022,40,Trung Quốc,"Lãng Mạn, Phim Hài, Tình Yêu Ngọt Ngào, Cổ Trang",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,Zhao Qi Chen,"Bạch Kính Đình, Điền Hi Vi, Chen Xiao Yun, Lưu Quán Lân, Lingzi Liu",1
41,Khát vọng yêu thương,Phim bộ,2000,7.6,T13,2017,12,Trung Quốc,"Lãng Mạn, Thành Thị",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shi Lei,"Que Zi Heng, Liang Ai Lin, Zhao Zhen Ting, Li Zheng Yan Qi, Zhao Zhen Ting, Li Zheng Yan Qi",-1
42,Cần Sự Lãng Mạn 2012,Phim bộ,1200,8.8,T13,2012,16,Hàn Quốc,"Lãng Mạn, Phim Hài, Tình Bạn, Thanh Xuân, Gia Đình",1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Jung-hyo Lee, Zhang Rong You","Yu-mi Jung, lee jin Uk, Kang Yeseul, Ji-woo Kim, Kim Ji Suk, kimyewon, Kyeo-woon Jeong,정겨운",-1
43,【Lồng Tiếng】Nửa Là Đường Mật Nửa Là Đau Thương,Phim bộ,8600,9.5,T13,2020,36,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thanh Xuân, Thương Trường, Tình Yêu Ngọt Ngào",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Vũ Trung Trung, Ngô Kiến Tân","La Vân Hi, Bạch Lộc, Tiêu Yến, Cao Hãn Vũ, Vương Dĩ Luân",-1
44,Vì Tình Yêu Nên Hạnh Phúc,Phim bộ,34000,9.1,P,2016,66,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Gia Đình, Hôn Nhân",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Liu Chun-Chieh,"WilliamChan, Tina Tang, Xu Ran, Mify, Ngụy Đại Huân, Eliza Liang, Lee Tae, Joyce, La Vân Hi, Lisa Chan, Wu Jing, Liu Li Wei, Rong Rong, Cai Gang, Fan Chun Xia",1
45,Biển lớn ở Phía Đông,Phim bộ,2000,8.4,T13,2017,35,Trung Quốc,Chiến Tranh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Feng Xiao Ning, Li Hai Feng","Yin Xiao Tian, Liu Xiao Wei, Nhiếp Viễn, Lv Li Ping, Huang Hai Bing",-1
46,Love Senior: Tiền Bối Kỷ Luật Yêu Em Được Không?,Phim bộ,60000,9.6,T18,2023,10,Thái Lan,"LGBT, Lãng Mạn, Tình Bạn, Thanh Xuân, Học Đường",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Manassanun Su,"Anda Anunta Teavirat, Lookkaew Kamollak Sangsubsin, Thunyaphat Inyawilert, Putticha Boonyamas, Danita Choktadaporn, Aphichaya Kamnoetsirikun, Parima Peamkaroonrath, Supatsorn Suriyakul, Buachumpoo Homdork, Pataravadee Thitivoodtikul, Dangtawan Ho, Deviyabha Uddhachandra, Sirapath Sarakunr, Bank Thoranin Manosudprasit, Bonus Thanadech Deeseesuk",1
47,Luận Ai Xứng Danh Anh Hùng,Phim bộ,7700,9.5,T13,2022,38,Trung Quốc,"Võ Thuật, Lãng Mạn, Tình Tiết, Cổ Trang, Cổ Đại",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Li Mu Ge,"Tăng Thuấn Hy, Dương Siêu Việt, Lưu Vũ Ninh, Trần Sở Hà , Mạnh Tử Nghĩa",-1
48,Chí hướng minh tinh 2,Phim bộ,15000,8.7,P,2017,12,Trung Quốc,"Lãng Mạn, Thanh Xuân, Tình Yêu Ngọt Ngào",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tu Jun Guang,"Shen Hao Chen, Wang Rui Zi, Ngạn Hi, Mary, Jakcie, Gao Bei Bei, Lu Xing Yu, JL, Peng Yu Chang, Dịch Bách Thần",0
49,Bảy Kiếp May Mắn,Phim bộ,35300,9.6,T13,2023,38,Trung Quốc,"Lãng Mạn, Viễn Tưởng, Hư Cấu, Tổng Tài Bá Đạo, Cổ Trang",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Li Nan,"Dương Siêu Việt, Đinh Vũ Hề, Yang Hao Yu, Dong Xuan, Charles Lin, Tinh Trạch, Lư Dục Hiểu",1
50,【Thuyết minh】Làm Trái Tim Em Mỉm Cười,Phim bộ,2700,9.2,T13,2021,24,Trung Quốc,"Lãng Mạn, Thanh Xuân, Học Đường",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Xi Dao,"La Chính, Quý Mỹ Hàm, Trần Hạc Nhất , Li Sha Min Zi, Wen Yuan, Thường Hoa Sâm",-1
51,Anh Hùng Cái Thế Của Tôi Phần 1,Phim bộ,1200,8.8,T13,2019,12,Trung Quốc,"Tình Tiết, Thanh Xuân",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MosChen,Mi Bao","Nhậm Hựu Luân, Liao Yu Chen, Lu Dong Xu, Larina",-1
52,Người đẹp Gangnam,Phim bộ,62700,9.3,T13,2018,16,Hàn Quốc,"Lãng Mạn, Thanh Xuân, Học Đường",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Choi Sung Bum,"Lim Su Hyang, Cha Eun Woo, Woo Ri Jo, Gwak Dong Yeon",1
53,Lang Quân 100 Ngày,Phim bộ,10400,9.4,T13,2018,16,Hàn Quốc,"Lãng Mạn, Phim Hài, Cổ Trang, Cổ Đại",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Jong-jae Lee,"D.O., Nam Ji Hyun, Jo Sung-ha, Kim Seon-ho, So-hee Han",0
54,Đối tác trong mơ,Phim bộ,3000,9.3,T13,2018,27,Trung Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeffrey Chiang,"Li Guang Jie, Gao Lu, Viên Văn Khang, Liu Tian Zuo, Ryan Zheng, Song Wen Fei, Zheng Yu, Pu Chao Ying, Shi Da Sheng, Hua Li",-1
55,Tiểu Xá Đắc,Phim bộ,2000,9.4,T13,2021,42,Trung Quốc,"Thành Thị, Gia Đình, Tiểu Thuyết Chuyển Thể",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Zhang Xiao Bo,"Tiểu Tống Giai, Đồng Đại Vỹ, Tưởng Hân, Lý Giai Hàng, Zhang Guo Li",-1
56,Kỳ Thi Quan Trọng,Phim bộ,29000,9.5,T13,2022,22,Trung Quốc,"Tình Tiết, Thanh Xuân, Gia Đình",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Shen Yan,"Chen Bao Guo, Wang Qianyuan, Lý Canh Hy, Hồ Tiên Hú, Vinh Tử Sam, Quách Đào, Liang Jing, Yan Bingyan, Lawrence Wang, Tào Hi Văn, Lam Doanh Oánh",1
57,【Thuyết minh】Vận Mệnh Kỳ Diệu,Phim bộ,68000,9.2,T13,2021,16,Trung Quốc,"Viễn Tưởng, Phim Hài, Thanh Xuân, Cổ Trang",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Zeng Huang Wu,"Cao Jun Xiang, Zhang Yue Nan, Wang Yu Lin",1
58,Hương Vị Thương Yêu,Phim bộ,21000,8.8,T13,2019,39,Trung Quốc,Thành Thị,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chen Ming Zhang,"Lu Yi, Amber Kuo, Aaron、Arron, Xiaoqi Ai, Li Sha Min Zi",0
59,Blueming: Hoa Nở Vì Em,Phim bộ,25500,9.5,T18,2022,11,Hàn Quốc,"LGBT, Lãng Mạn, Thanh Xuân, Học Đường",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Hwang Da-Seul,Huang Da Se","Eun Bin Kang, Hyuk Jun Cho",1
60,"Thời Gian Và Anh, Vừa Hay Đúng Lúc",Phim bộ,9100,9.6,T13,2022,25,Trung Quốc,"Lãng Mạn, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường",1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Rong-hui Chen,"Lư Dục Hiểu, Wu Jun Ting",-1
61,Tứ bảo thư phòng,Phim bộ,1000,8.8,T13,2018,30,Trung Quốc,Cổ Trang,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Zhang Tie Lin,"Zhang Tie Lin, Audrey Liao, Li Cheng Ru, Chi Hua Qiong, Zhao Jin",-1
62,Tiên Kiếm Kỳ Hiệp 4,Phim bộ,16200,9.6,T13,2024,36,Trung Quốc,"Lãng Mạn, Cổ Trang, Cổ Đại, Tiểu Thuyết Chuyển Thể",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Yang Xuan,"Cúc Tịnh Y, Trần Triết Viễn, Mao Tử Tuấn, Mao Hiểu Huệ, Trần Sở Hà",1
63,"Xin Chào, Bạn Trai Của Tôi",Phim bộ,12100,9.3,T13,2023,24,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thanh Xuân, Tình Yêu Ngọt Ngào",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Ma Ming,"Jia Yi, Jin Zi Xuan, Phan Hiểu Đông, Wu Ming Jing, Du Hou Jia, Chen Yi Qi, Gao Kai Yuan, Boyang Li",0
64,Nếu Bôn Ba Là Định Mệnh Của Tôi,Phim bộ,2000,9.8,T13,2024,28,Trung Quốc,"Lãng Mạn, Thành Thị, Gia Đình",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Shen Yan, Li Jiang Ming","Chung Sở Hi, Dương Siêu Việt, Hứa Đệ, Trần Tiểu Nghệ",-1
65,Sơn Trại Tiểu Manh Chủ,Phim bộ,13500,9.4,T13,2020,27,Trung Quốc,"Lãng Mạn, Phim Hài, Tình Yêu Ngọt Ngào, Cổ Trang, Cổ Đại",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Zoe Qin,"Eleanor Lee, Yiqin Zhao, Jin Ze, Sun xue ning, Chen Si Yu",0
66,Bác sĩ Đường,Phim bộ,7700,9.7,T13,2022,36,Trung Quốc,"Y Liệu, Thành Thị, Tình Bạn, Gia Đình",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,De-Guang Wen,"Tần Lam, Ngụy Đại Huân, Gao Lu, Jue Huang, Ning Wen Tong, Mikan, Jia Jing Hui, David Wang",-1
67,Dân Quốc Kỳ Thám,Phim bộ,14600,9.4,T16,2020,36,Trung Quốc,"Bí Ẩn, Phim Hài, Tình Bạn, Thanh Xuân",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Zhang Wei Ke,"Hồ Nhất Thiên, Trương Vân Long, Tiêu Yến, Trương Hội Trung, Zeng Yong Ti",0
68,Cuộc Chiến Hậu Cung,Phim bộ,18700,9.2,T13,2019,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Cổ Trang, Cổ Đại",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Kim Jeong Min,"Jin Se Yeon, Kim Min Kyu, Li Lie Yin, Si-eon Lee",1
69,Năng Nhẫn Lớn Rồi Phần 2,Phim bộ,2000,9.6,P,2019,12,Trung Quốc,"Tình Tiết, Phim Hài, Thành Thị",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Liu Jia Yin,"Helun Zhang, Luan Yun Ping, Yang Jiu Lang, Meng Hetang, Gao Feng, Zhang Yun Lei, Li He Biao, Ren Ming Song, E Jing Wen, Li Si Rui",-1
