Unnamed: 0,movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,Lãng Mạn,Tình Tiết,Thanh Xuân,Thành Thị,Viễn Tưởng,Phim Hài,Bí Ẩn,Hành Động,Cổ Trang,Tình Bạn,Phiêu Lưu,Tội Phạm,Tình Yêu Ngọt Ngào,Gia Đình,Nhiệt Huyết,Kinh Dị,Tiểu Thuyết Chuyển Thể,Other,director,cast,Popularity Levels
849,Xin Chào Quái Vật,Phim bộ,5900,9.2,T16,2015,16,Hàn Quốc,"Tội Phạm, Bí Ẩn, Lãng Mạn",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Lu Shang Xun, Jin Zhen Yuan","Seo In Guk, Anglenala, Lee Cheon Hee,Cheon-hee Lee, D.O.",-1
850,Ai Nói Tôi Không Thể Kết Hôn,Phim bộ,1300,8.9,T13,2020,40,Trung Quốc,"Lãng Mạn, Thành Thị",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,He Nian,"Phan Việt Minh, Đồng Dao, Chen Shu, Viên Văn Khang",-1
851,Ai Long Nhai The Series,Phim bộ,47900,9.7,T18,2022,12,Thái Lan,"LGBT, Lãng Mạn, Thanh Xuân",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sathanapong Limwongthong,"Meen Nichakoon Khajornborirak, Ping Krittanun Aunchananun, Arm Suppatyu Pranartkul, Porsch Apiwat Apiwatseri, Gungun Gun Tieosuwan, Save Saisawat, Jom Thanathorn Khuankaew, Fluke Nattanon Tongsaeng, Nice Pitthayuth orsuwarn, Games Nanthipat Sirorattanaphanit",1
852,Sự Yên Lặng Chết Người,Phim bộ,6000,9.4,T13,2020,16,Hàn Quốc,"Tình Tiết, Thành Thị, Thanh Xuân, Thương Trường, Tiểu Thuyết Chuyển Thể",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Gyoo-sik Choi,"Jeong-min Hwang, Lim YoonA,Yoona, Piao Hao Shan, Kyong Soo Jin",-1
853,Mặt Trời Của Chàng Joo,Phim bộ,4600,9.4,T16,2013,17,Hàn Quốc,"Bí Ẩn, Phim Hài, Kinh Dị, Thành Thị",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Hyuk Jin,"Ji Sub So, Kong Hyo-Jin",-1
854,Cảnh Sát Kung Fu,Phim bộ,1700,9.1,T13,2020,42,Trung Quốc,"Hình Sự, Tình Bạn",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Tian Yi,"JOE, Xing Mu, Từ Hồng Hào, He Yan Ni, Xia Hou Bin, Kenuo Ren, Yang Shan, An Ya Ping, Ao Yang, Jingrui Xue",-1
855,Bí Mật Nơi Góc Tối,Phim bộ,162900,9.6,T13,2021,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Tình Bạn, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường",1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Zhang Xiao An,"Trần Triết Viễn, Rainbow,Xu Meng Jie, Zhixin Fan, Wang Ze Xuan, Zhiwei Liu",1
856,Ban Nhạc Mỹ Nam,Phim bộ,2100,8.9,T13,2012,16,Hàn Quốc,"Lãng Mạn, Tình Tiết, Tình Bạn, Thanh Xuân, Học Đường",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Li Quan,"Jun Sung, Cho Bo-ah, Kim Myung Soo, Liu Min Kui",-1
857,【Thuyết minh】Hãy Yêu Nhau Dưới Ánh Trăng Tròn,Phim bộ,2400,9.5,T13,2021,24,Trung Quốc,"Lãng Mạn, Thành Thị, Thanh Xuân, Tình Yêu Ngọt Ngào",1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Haishu Li, Yanwei Huang","Cúc Tịnh Y, Trịnh Nghiệp Thành, Mễ Nhiệt, Sun Yi Ning, Shen Yao, Zheng Fan Xing",-1
858,Bậc thầy hóa trang,Phim bộ,2100,8.8,T13,2017,42,Trung Quốc,"Lãng Mạn, Thanh Xuân",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pan Jing Cheng,"Zhang Dan Feng, Đàm Tùng Vận, Hanson, Dai Chao, Zhou Ziyin, Wang Yu, Chen Ran, Too Zong Hua, A Nan, Zhang Han, Hu Cai Hong, Xing Min Shan",-1
859,【Thuyết Minh】Phù Đồ Duyên,Phim bộ,9000,9.5,T13,2023,36,Trung Quốc,"Lãng Mạn, Tình Tiết, Cổ Trang, Cổ Đại",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Qiang Wu,"Vương Hạc Đệ, Trần Ngọc Kì, Hà Nhuận Đông, Tăng Lê",-1
860,Mua Không Rời Tay Anh Yêu Em,Phim bộ,2600,9.3,T13,2022,24,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị, Thanh Xuân, Thương Trường",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Li Mo Dao Yan,"Tina Tang, Dương Sĩ Trạch, Viên Văn Khang, Peng Gao Chang, Zhang Lei, Liao Wang",-1
861,AiNhai,Phim bộ,8700,9.8,T18,2023,1,Thái Lan,"LGBT, Lãng Mạn, Phim Hài, Tình Bạn, Thanh Xuân",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Sathanapong Limwongthong,"Meen Nichakoon Khajornborirak, Ping Krittanun Aunchananun",-1
